No,Conty,Producder,Stock,Adderres,Pro_name,Pro_ctgry,count
76 ,嘉義縣,九龍,1.28,嘉義縣新港鄉南港村甲地22號,核桃酥,傳統糕餅,1 
77 ,高雄市,祥有味食品股份有限公司,0.675,高雄市湖內區湖中路260號,香?肉鬆餐包,麵包/餅乾,1 
78 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,7-11超級大燒包-筍香140G,餅皮/麵皮,20
79 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,叉燒包子皮,餅皮/麵皮,20
80 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,干貝肉粽210G,餅皮/麵皮,20
81 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,手工玉米豬肉水餃20G,餅皮/麵皮,20
82 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,手工高麗菜豬肉水餃20G,餅皮/麵皮,20
83 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,手工鮮肉水餃25G,餅皮/麵皮,20
84 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,古早味肉粽150G,米製品,20
85 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,生南瓜水餃皮,餅皮/麵皮,20
86 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,生菠菜水餃皮,餅皮/麵皮,20
87 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,生黑芝麻水餃皮,餅皮/麵皮,20
88 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,生番茄水餃皮,餅皮/麵皮,20
89 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,韭菜手工水餃20G,餅皮/麵皮,20
90 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,無錫排骨調理包240G,調味醬/油/高湯,20
91 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,超大鮮筍肉包140G,餅皮/麵皮,20
92 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,傳統北部肉粽150G,米製品,20
93 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,端午肉粽150G,米製品,20
94 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,熟水餃豬油皮,餅皮/麵皮,20
95 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,鮮肉手工水餃18G,餅皮/麵皮,20
96 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,鮮肉手工水餃20G,餅皮/麵皮,20
97 ,高雄市,奇美食品股份有限公司,4.8,高雄市湖內區中山路二段51號,鮮肉包100G,餅皮/麵皮,20
98 ,高雄市,吳記食品有限公司,1.12,高雄市鳳山區光遠路284-1號,太陽餅,傳統糕餅,1 
99 ,高雄市,金利華股份有限公司,47.2,高雄市前鎮區新大路5號,鱈魚丸,丸類,2
100 ,高雄市,金利華股份有限公司,47.2,高雄市前鎮區新大路5號,雪蝦丸,丸類,2
